protocol,dataset_key,dataset_name,model_key,evaluations,synthetic_total,elapsed_total,group_overlap_total,min_test_n,max_test_n,min_rare_count,max_rare_count,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,wmse_mean,wmse_std,sera_mean,sera_std,oiha_mean,oiha_std,rare_ratio_mean,rare_ratio_std,rare_rmse_mean,rare_rmse_std,rare_mae_mean,rare_mae_std,normal_rmse_mean,normal_rmse_std,normal_mae_mean,normal_mae_std
protocol_sensitivity_grouped10fold,california_housing,California Housing,ekk,10,0,0.31249,0,2064,2064,301,329,0.7261293182575552,0.012291516720924734,0.5315449349666066,0.007211418117313739,0.6038745183661024,0.013960243688231575,1.0193605053359558,0.05363029935121366,0.3037517085704192,0.01600176206177563,0.3344404569399463,0.01564441634071084,0.15348837209302327,0.004945131578554172,1.3566670243908028,0.03748549822645046,1.1177264804812732,0.029516932062578462,0.5375890016309526,0.012413906781255845,0.4252369198578972,0.006387488401865916
protocol_sensitivity_grouped10fold,california_housing,California Housing,relevance_weighted_rf,10,0,8.447849,0,2064,2064,301,329,0.4977430213483836,0.01441412624993245,0.33415624560642865,0.007261584326708865,0.8137537560267208,0.011493437783746832,0.45326395443438355,0.03561644810637979,0.1350372807690207,0.010375489650714624,0.1479608102337318,0.011237926658866476,0.15348837209302327,0.004945131578554172,0.9000262954009154,0.042509241294219145,0.6648446796649944,0.02986261258203433,0.38186833417912125,0.010982945418660432,0.2742657869325427,0.005977005965548918
protocol_sensitivity_grouped10fold,california_housing,California Housing,rf,10,0,8.101677,0,2064,2064,301,329,0.4863639354457948,0.014112395156675901,0.3251296863085225,0.00633195913050114,0.8221618539670515,0.011214986966249679,0.4359069584337436,0.03493147646279426,0.12986283323051642,0.0101594273455397,0.14226766655908324,0.01119833497699996,0.15348837209302327,0.004945131578554172,0.8832821346444272,0.04117584371137653,0.6512696911075324,0.024876984607706765,0.3715269641259001,0.010680941118711602,0.2660525179043307,0.005592717420829237
protocol_sensitivity_grouped10fold,california_housing,California Housing,smogn_rf,10,128744,35.554092,0,2064,2064,301,329,0.5116391818060967,0.013073816794825725,0.35432455075855646,0.007369271311204559,0.8032241060553575,0.011209737269226288,0.3847949748682235,0.03042596651533399,0.11464035425130963,0.00879298104451491,0.1435704556407423,0.00972897624057542,0.15348837209302327,0.004945131578554172,0.7717277189313113,0.044720774201966344,0.5503672278448467,0.02537210381181926,0.4485472216077032,0.012411470994542392,0.3188524077964534,0.007334392933962845
protocol_sensitivity_grouped10fold,california_housing,California Housing,smote_r_rf,10,128744,36.322324,0,2064,2064,301,329,0.5125820715326564,0.013489063510308878,0.35373326401285643,0.006613581968211537,0.8024972573832223,0.011369939583892989,0.38735873298257284,0.029674471669215725,0.11540139818653328,0.008554614802566701,0.1446348468632332,0.01039700921743123,0.15348837209302327,0.004945131578554172,0.775070401773769,0.04239423701834908,0.553458939637881,0.023514627243220114,0.44885892309557196,0.010982067649124233,0.3175957520492625,0.0061064867648657865
protocol_sensitivity_grouped10fold,concrete,Concrete Compressive Strength,ekk,10,0,0.152707,0,99,108,14,23,10.436510433455389,0.5581764989865741,8.283712969677065,0.48095324568715236,0.605247661128323,0.027063414714364655,139.2036963269692,22.340956785203247,41.898317163131466,8.080393233731403,53.03082741328633,10.493277258756729,0.1752172931820793,0.027373966760912864,13.046176582884948,1.822365062352205,11.246989027818122,1.8241349677184135,9.752536212209417,0.4719392967131918,7.64058300722242,0.3592505015216313
protocol_sensitivity_grouped10fold,concrete,Concrete Compressive Strength,relevance_weighted_rf,10,0,1.258932,0,99,108,14,23,5.001230258034056,0.5627401611357612,3.665872306508395,0.3434861623705982,0.9078196429848855,0.0226970781922241,38.90328918616147,13.52650438411842,11.690066709753548,4.3190067976448425,12.031716522309168,4.303401130803019,0.1752172931820793,0.027373966760912864,7.324516410730072,1.7267570665919358,5.717972963960961,1.3617961520970234,4.293001440487364,0.598667722370315,3.237137676937139,0.32287431164054936
protocol_sensitivity_grouped10fold,concrete,Concrete Compressive Strength,rf,10,0,1.247464,0,99,108,14,23,5.006667892659915,0.6299213181009117,3.638968982490721,0.3543237563044436,0.9075797600077531,0.024141793148229486,39.41848163120518,14.937555274762472,11.846599244229987,4.737190628263569,12.301837553218608,4.772972159268253,0.1752172931820793,0.027373966760912864,7.443515873772128,1.7949817979094054,5.838140149181067,1.358531116601721,4.260533160056639,0.6388285932192551,3.182343517803015,0.3327345636577889
protocol_sensitivity_grouped10fold,concrete,Concrete Compressive Strength,smogn_rf,10,5994,2.034707,0,99,108,14,23,4.644531833435746,0.6276653008690474,3.438546620145894,0.3690164886488235,0.9205920202739432,0.021310062562845747,30.709142719702193,12.489643412558449,9.240965828878199,3.931051629039171,9.752634694750205,4.007550336619424,0.1752172931820793,0.027373966760912864,6.102044822863377,1.8086568781323145,4.589899820337251,1.2824109743901009,4.206552892275807,0.6554738540540738,3.201927277856645,0.37482274917682407
protocol_sensitivity_grouped10fold,concrete,Concrete Compressive Strength,smote_r_rf,10,5994,2.087554,0,99,108,14,23,4.732967260043468,0.5387774120134518,3.473426884127779,0.3132278990691702,0.9175437393427247,0.020080903177343543,32.1125646343407,11.668944505324392,9.655768112275009,3.7125645078298266,10.204491120778204,3.678753539118864,0.1752172931820793,0.027373966760912864,6.361998601969739,1.6912838916583428,4.700679467689073,1.234297077572282,4.2517955135907775,0.5539645996040922,3.2208517645073256,0.32880620198693916
protocol_sensitivity_grouped10fold,servo,Servo,ekk,10,0,0.171496,0,16,17,3,4,1.0932231292347558,0.1609925870285393,0.9044174188048076,0.0865396105971693,0.48316613039261896,0.09495778090691916,1.9296045532929251,1.0962905180918041,0.6887024360038406,0.43283312886372066,1.0892161069749977,0.40201077340285224,0.20330882352941176,0.027894375148702702,1.5947411046431494,0.46178878113841704,1.4684760157804113,0.40757597687341923,0.8859150477807054,0.13694108969287683,0.755637795226865,0.11982259164804128
protocol_sensitivity_grouped10fold,servo,Servo,relevance_weighted_rf,10,0,1.117536,0,16,17,3,4,0.6363404318133241,0.14213565451121526,0.4179096325285704,0.08715024560378046,0.8194473081006024,0.06942668310706122,0.887760552499496,0.4894350133406309,0.3142219514436101,0.186934993472023,0.37425890195460126,0.1939827643635923,0.20330882352941176,0.027894375148702702,1.1371743338548301,0.3070431101498247,0.9846519203054637,0.256857103137614,0.389585646283352,0.15124211376990604,0.27136399546862633,0.0908636392141576
protocol_sensitivity_grouped10fold,servo,Servo,rf,10,0,1.10479,0,16,17,3,4,0.6293578035600482,0.14827218609434398,0.4114376451238604,0.07788571668583222,0.8228628550560009,0.06391560496645703,0.9209664547460301,0.582273360701493,0.32424070471923794,0.22154949184375647,0.3588102685041476,0.21332550201658035,0.20330882352941176,0.027894375148702702,1.151519363369585,0.3548043379334345,0.9879650007400004,0.2622914484858818,0.3654930019861828,0.11886927590747366,0.2635084006761539,0.07540231067896287
protocol_sensitivity_grouped10fold,servo,Servo,smogn_rf,10,891,1.240853,0,16,17,3,4,0.6176404218207874,0.08491264016752476,0.4094348633331502,0.0808432772505417,0.8252523781449479,0.07227080167451147,0.7586296990348079,0.28397947050334044,0.2668213491540198,0.1078884446487502,0.3269969080902198,0.09914823424103239,0.20330882352941176,0.027894375148702702,1.0489463299311557,0.24006852430195008,0.8524570381823059,0.22775160213293222,0.4149947564496258,0.14047217951290844,0.29665915567996093,0.09550219499570087
